Código	Estado	Região	2016	2017	2018	2019	2020	2021	2022
2202026	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2409209	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	33.83202362	33.85144806	44.07593536
2508109	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2501153	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2500734	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2208650	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2409605	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68478203
2514552	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28001213
2513653	PB	NE	28.83252144	43.76457977	43.80442429	43.76986313	43.78829956	33.88358307	39.60226059
3164803	MG	SD	28.83252144	28.92120361	28.9528656	28.93356514	28.948946	28.98603058	30.71450233
1502509	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2509370	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68703079
2406304	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.28202438
1304401	AM	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	44.07593155
2112456	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
5201207	GO	CO	28.83252144	28.92701912	33.81463242	33.79661179	38.82725143	38.83681107	39.57446671
2405207	RN	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.69694328
1712454	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2207108	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
1704105	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
3114907	MG	SD	28.83252144	28.90787888	28.94265175	33.8077774	33.8720665	33.90115356	39.57091522
1501105	PA	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
4300002	RS	SL	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2102036	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2406205	RN	NE	28.83252144	28.90787888	28.94282722	28.92504501	28.94090652	28.96866798	26.27989578
5200209	GO	CO	28.83252144	38.74309921	38.79240417	38.76062012	38.78008652	38.83463287	30.72093582
2802502	SE	NE	28.83252144	28.90787888	33.81263351	28.92504501	28.94090652	28.96866798	30.71972466
4311239	RS	SL	28.83252144	38.71092987	38.75246811	38.72636414	38.74335861	33.93113327	35.14229584
2101350	MA	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2201002	PI	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2205151	PI	NE	28.83252144	28.90787888	33.85555267	28.93522453	28.94090652	33.84287643	35.14812088
1705102	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.2845974
4311429	RS	SL	28.83252144	38.7392807	38.79039383	38.78009033	38.82307434	38.88645935	39.60574722
2401651	RN	NE	28.83252144	28.90787888	28.9525547	28.94445229	33.81573486	33.84761429	39.57575989
1718659	TO	NO	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	26.27989578
2513984	PB	NE	28.83252144	28.90787888	28.94265175	28.92504501	28.94090652	28.96866798	30.68352509
4315149	RS	SL	28.83252144	43.67694855	43.79352951	53.71064758	53.79201126	53.84104919	57.56461334
1504752	PA	NO	28.83252144	28.90787888	28.94265175	28.93128586	33.83931732	33.86290359	26.28045845
